gps_code,iata_code,name,type,ident,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,id,iso_region,municipality,scheduled_service,local_code,home_link,wikipedia_link,keywords
NTGA,AAA,Anaa Airport,medium_airport,NTGA,-17.3526,-145.509995,10,OC,PF,4983,PF-U-A,Anaa,yes,,,https://en.wikipedia.org/wiki/Anaa_Airport,
HEAR,AAC,El Arish International Airport,medium_airport,HEAR,31.078565,33.836791,118,AS,EG,3176,EG-SIN,El Arish,yes,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,
DABB,AAE,Annaba Rabah Bitat Airport,medium_airport,DABB,36.826781,7.81334,16,AF,DZ,2060,DZ-23,Annaba,yes,,,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah"
NGUK,AAK,Aranuka Airport,small_airport,NGUK,0.185278,173.636993,6,OC,KI,30607,KI-G,Buariki,yes,,,https://en.wikipedia.org/wiki/Aranuka_Airport,Tarawa
EKYT,AAL,Aalborg Airport,medium_airport,EKYT,57.094763,9.84993,10,EU,DK,2562,DK-81,Aalborg,yes,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,
FAMD,AAM,Malamala Airport,medium_airport,FAMD,-24.816866,31.544085,1124,AF,ZA,2808,ZA-MP,Malamala,yes,,,https://en.wikipedia.org/wiki/Mala_Mala_Airport,
OMAL,AAN,Al Ain International Airport,medium_airport,OMAL,24.2616996765137,55.6091995239258,869,AS,AE,5230,AE-AZ,Al Ain,yes,,,https://en.wikipedia.org/wiki/Al_Ain_International_Airport,
WALS,AAP,Aji Pangeran Tumenggung Pranoto International Airport,medium_airport,WALS,-0.374478,117.250128,82,AS,ID,26763,ID-KI,Samarinda,yes,,,https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport,Sungai Siring Airport
URKA,AAQ,Anapa Vityazevo Airport,medium_airport,URKA,45.002102,37.347301,174,EU,RU,6511,RU-KDA,Krasnyi Kurgan,yes,,https://www.aaqaero.ru/en/,https://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport
EKAH,AAR,Aarhus Airport,medium_airport,EKAH,56.303331,10.618286,82,EU,DK,2540,DK-82,Aarhus,yes,,http://www.aar.dk/default.asp?id=87,https://en.wikipedia.org/wiki/Aarhus_Airport,
ZWAT,AAT,Altay Xuedu Airport,medium_airport,CN-0113,47.749886,88.085808,2460,AS,CN,44191,CN-65,Altay,yes,,,https://en.wikipedia.org/wiki/Altay_Xuedu_Airport,Altay Air Base
NSAU,AAU,Asau Airport,small_airport,NSAU,-13.505132,-172.627888,,OC,WS,30608,WS-VS,Asau,yes,,,https://en.wikipedia.org/wiki/Asau_Airport,
SBAX,AAX,Romeu Zema Airport,medium_airport,SBAX,-19.5632,-46.9604,3276,SA,BR,5866,BR-MG,Araxá,yes,MG0008,,https://en.wikipedia.org/wiki/Arax%C3%A1_Airport,
OYGD,AAY,Al Ghaydah International Airport,medium_airport,OYGD,16.193341,52.174186,134,AS,YE,5315,YE-MR,Al Ghaydah,yes,,,https://en.wikipedia.org/wiki/Al_Ghaydah_Airport,ODAG
MGQZ,AAZ,Quezaltenango Airport,small_airport,MGQZ,14.8656,-91.501999,7779,NA,GT,30610,GT-QZ,Quezaltenango,yes,,,https://en.wikipedia.org/wiki/Quetzaltenango_Airport,"Los Altos Airport, Xelajú , Xela"
UNAA,ABA,Abakan International Airport,medium_airport,UNAA,53.740002,91.385002,831,EU,RU,6503,RU-KK,Abakan,yes,,,https://en.wikipedia.org/wiki/Abakan_International_Airport,
OIAA,ABD,Abadan Airport,medium_airport,OIAA,30.367887,48.230075,10,AS,IR,5130,IR-06,Abadan,yes,,,https://en.wikipedia.org/wiki/Abadan_Airport,
KABE,ABE,Lehigh Valley International Airport,medium_airport,KABE,40.651773,-75.442797,393,NA,US,3356,US-PA,Allentown,yes,ABE,,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,
KABI,ABI,Abilene Regional Airport,medium_airport,KABI,32.4113006592,-99.6819000244,1791,NA,US,3357,US-TX,Abilene,yes,ABI,,https://en.wikipedia.org/wiki/Abilene_Regional_Airport,
DIAP,ABJ,Félix-Houphouët-Boigny International Airport,medium_airport,DIAP,5.26139,-3.92629,21,AF,CI,2096,CI-AB,Abidjan,yes,,,https://en.wikipedia.org/wiki/F%C3%A9lix-Houphou%C3%ABt-Boigny_International_Airport,Port Bouët
HAKD,ABK,Kebri Dahar Airport,medium_airport,HAKD,6.732577,44.241339,1800,AF,ET,30612,ET-SO,Kebri Dahar,yes,,,https://en.wikipedia.org/wiki/Kabri_Dar_Airport,Kabri Dar
PAFM,ABL,Ambler Airport,medium_airport,PAFM,67.105529,-157.855339,334,NA,US,5363,US-AK,Ambler,yes,AFM,,https://en.wikipedia.org/wiki/Ambler_Airport,Z60
YNPE,ABM,Northern Peninsula Airport,small_airport,YNPE,-10.946194,142.455081,34,OC,AU,26898,AU-QLD,Bamaga,yes,,http://www.nparc.qld.gov.au/airport,https://en.wikipedia.org/wiki/Northern_Peninsula_Airport,"YBAM, Bamaga Airport, Bamaga Injinoo Airport, Somerset"
KABQ,ABQ,Albuquerque International Sunport,large_airport,KABQ,35.039976,-106.608925,5355,NA,US,16091,US-NM,Albuquerque,yes,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
KABR,ABR,Aberdeen Regional Airport,medium_airport,KABR,45.4491004943848,-98.4217987060547,1302,NA,US,3358,US-SD,Aberdeen,yes,ABR,,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,
HEBL,ABS,Abu Simbel Airport,medium_airport,HEBL,22.367657,31.609962,614,AF,EG,3181,EG-ASN,Abu Simbel,yes,,,https://en.wikipedia.org/wiki/Abu_Simbel_Airport,
OEBA,ABT,King Saud Bin Abdulaziz (Al Baha) Airport,medium_airport,OEBA,20.298506,41.636153,5486,AS,SA,5084,SA-11,Al-Baha,yes,,,https://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport,Al-Aqiq
WATA,ABU,AA Bere Tallo (Haliwen) Airport,small_airport,WRKA,-9.074841,124.903285,1027,AS,ID,41475,ID-NT,Atambua,yes,,,https://en.wikipedia.org/wiki/Haliwen_Airport,WRKA
DNAA,ABV,Nnamdi Azikiwe International Airport,large_airport,DNAA,9.00679,7.26317,1123,AF,NG,2104,NG-FC,Abuja,yes,,http://www.faannigeria.org/nigeria-airport.php?airport=3,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,
YMAY,ABX,Albury Airport,medium_airport,YMAY,-36.066758,146.959148,539,OC,AU,27044,AU-NSW,Albury,yes,,,https://en.wikipedia.org/wiki/Albury_Airport,
KABY,ABY,Southwest Georgia Regional Airport,medium_airport,KABY,31.532946,-84.196215,197,NA,US,3359,US-GA,Albany,yes,ABY,,https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,
EGPD,ABZ,Aberdeen Dyce Airport,medium_airport,EGPD,57.2019,-2.19778,215,EU,GB,2459,GB-SCT,Aberdeen,yes,,http://www.aberdeenairport.com/,https://en.wikipedia.org/wiki/Aberdeen_Airport,
MMAA,ACA,General Juan N. Álvarez International Airport,medium_airport,MMAA,16.757126,-99.753113,16,NA,MX,4688,MX-GRO,Acapulco,yes,,,https://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,
DGAA,ACC,Kotoka International Airport,large_airport,DGAA,5.60518980026245,-0.166786000132561,205,AF,GH,2090,GH-AA,Accra,yes,,,https://en.wikipedia.org/wiki/Kotoka_International_Airport,
GCRR,ACE,César Manrique-Lanzarote Airport,large_airport,GCRR,28.945499,-13.6052,46,AF,ES,3082,ES-CN,San Bartolomé,yes,,https://www.lanzaroteairport.info/barrier-free-disability-assistance-service/,https://en.wikipedia.org/wiki/Lanzarote_Airport,Arrecife Airport
ZWAL,ACF,Aral Tarim Airport,small_airport,ZWAL,40.434748,81.26206,,AS,CN,354654,CN-65,Aral,yes,,,https://en.wikipedia.org/wiki/Aral_Talim_Airport,
LSZR,ACH,Sankt Gallen Altenrhein Airport,medium_airport,LSZR,47.485001,9.56077,1306,EU,CH,4506,CH-SG,St. Gallen,yes,,https://www.peoples.ch/lszr,https://en.wikipedia.org/wiki/St._Gallen-Altenrhein_Airport,
EGJA,ACI,Alderney Airport,medium_airport,EGJA,49.706104,-2.21472,290,EU,GG,2424,GG-A,Saint Anne,yes,,,https://en.wikipedia.org/wiki/Alderney_Airport,"The Blaye, Channel Islands"
KACK,ACK,Nantucket Memorial Airport,medium_airport,KACK,41.25310135,-70.06020355,47,NA,US,3360,US-MA,Nantucket,yes,ACK,,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,
KACT,ACT,Waco Regional Airport,medium_airport,KACT,31.6112995147705,-97.2304992675781,516,NA,US,3361,US-TX,Waco,yes,ACT,,https://en.wikipedia.org/wiki/Waco_Regional_Airport,
KACV,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,KACV,40.978101,-124.109,221,NA,US,3362,US-CA,Arcata/Eureka,yes,ACV,,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata Airport
ZUYI,ACX,Xingyi Wanfenglin Airport,medium_airport,ZUYI,25.083423,104.960804,4150,AS,CN,301647,CN-52,Xingyi,yes,,,https://en.wikipedia.org/wiki/Xingyi_Wanfenglin_Airport,
KACY,ACY,Atlantic City International Airport,medium_airport,KACY,39.4575996398926,-74.5772018432617,75,NA,US,3363,US-NJ,Atlantic City,yes,ACY,,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,
LTAF,ADA,Adana Şakirpaşa Airport,medium_airport,LTAF,36.982201,35.280399,65,AS,TR,4512,TR-01,Seyhan,yes,,,https://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,"Şakirpaşa, Sakirpasa"
LTBJ,ADB,Adnan Menderes International Airport,large_airport,LTBJ,38.2924,27.157,412,AS,TR,4533,TR-35,Gaziemir,yes,,http://www.adnanmenderesairport.com,https://en.wikipedia.org/wiki/Adnan_Menderes_Airport,İzmir
HAAB,ADD,Addis Ababa Bole International Airport,large_airport,HAAB,8.97789,38.799301,7630,AF,ET,3157,ET-AA,Addis Ababa,yes,,http://www.ethiopianairports.com,https://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport"
OYAA,ADE,Aden International Airport,medium_airport,OYAA,12.8295,45.028801,7,AS,YE,5311,YE-AD,Aden,yes,,,https://en.wikipedia.org/wiki/Aden_International_Airport,RAF Khormaksar
LTCP,ADF,Adıyaman Airport,medium_airport,LTCP,37.7314,38.468899,2216,AS,TR,4561,TR-02,Adıyaman,yes,,,https://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport,
OJAM,ADJ,Amman Civil (Marka International) Airport,medium_airport,OJAM,31.9727,35.9916,2555,AS,JO,5213,JO-AM,Amman,yes,,,https://en.wikipedia.org/wiki/Amman_Civil_Airport,King Abdullah Air Base
PADK,ADK,Adak Airport,medium_airport,PADK,51.883564,-176.642783,18,NA,US,16092,US-AK,Adak,yes,ADK,,https://en.wikipedia.org/wiki/Adak_Airport,
YPAD,ADL,Adelaide International Airport,large_airport,YPAD,-34.947512,138.533393,20,OC,AU,27096,AU-SA,Adelaide,yes,,,https://en.wikipedia.org/wiki/Adelaide_International_Airport,
PADQ,ADQ,Kodiak Airport,medium_airport,PADQ,57.75,-152.4940033,78,NA,US,5353,US-AK,Kodiak,yes,ADQ,,https://en.wikipedia.org/wiki/Kodiak_Airport,
OITL,ADU,Ardabil Airport,medium_airport,OITL,38.3256988525,48.4244003296,4315,AS,IR,5200,IR-24,Ardabil,yes,,,https://en.wikipedia.org/wiki/Ardabil_Airport,
SKSP,ADZ,Gustavo Rojas Pinilla International Airport,medium_airport,SKSP,12.5836,-81.7112,19,NA,CO,6163,CO-SAP,San Andrés,yes,ADZ,,https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport,
ZGBS,AEB,Baise (Bose) Bama Airport,medium_airport,CN-0082,23.7206,106.959999,490,AS,CN,44160,CN-45,Baise (Tianyang),yes,,,https://en.wikipedia.org/wiki/Baise_Youjiang_Airport,"Tian Yang Air Base, Bose airport, 百色右江机场"
WIME,AEG,Aek Godang Airport,medium_airport,WIME,1.4001,99.430496,922,AS,ID,26837,ID-SU,Padang Sidempuan,yes,,,https://en.wikipedia.org/wiki/Aek_Godang_Airport,
FTTC,AEH,Abeche Airport,medium_airport,FTTC,13.847,20.844299,1788,AF,TD,2996,TD-OD,Abeche,yes,,,https://en.wikipedia.org/wiki/Ab%C3%A9ch%C3%A9_Airport,
SABE,AEP,Jorge Newbery Airpark,large_airport,SABE,-34.5592,-58.4156,18,SA,AR,5771,AR-C,Buenos Aires,yes,AER,,https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery,
URSS,AER,Sochi International Airport,large_airport,URSS,43.449902,39.9566,89,EU,RU,6519,RU-KDA,Sochi,yes,,https://aer.aero/en,https://en.wikipedia.org/wiki/Sochi_International_Airport,"Adler Airport, Black Sea, Международный Аэропорт Сочи"
ENAL,AES,"Ålesund Airport, Vigra",medium_airport,ENAL,62.5625,6.1197,69,EU,NO,2564,NO-15,Ålesund,yes,,http://www.avinor.no/lufthavn/alesund,https://en.wikipedia.org/wiki/%C3%85lesund_Airport%2C_Vigra,Vigra
PFAL,AET,Allakaket Airport,small_airport,PFAL,66.551804,-152.621994,441,NA,US,13176,US-AK,Allakaket,yes,6A8,,https://en.wikipedia.org/wiki/Allakaket_Airport,
OIBA,AEU,Abu Musa Island Airport,medium_airport,OIBA,25.8757,55.033001,23,AS,IR,5138,IR-22,Abu Musa,yes,,,https://en.wikipedia.org/wiki/Abu_Musa_Airport,
KAEX,AEX,Alexandria International Airport,medium_airport,KAEX,31.3274,-92.549797,89,NA,US,3365,US-LA,Alexandria,yes,AEX,,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),"England Air Park, England Air Force Base"
BIAR,AEY,Akureyri Airport,medium_airport,BIAR,65.656573,-18.072018,6,EU,IS,117,IS-6,Akureyri,yes,,https://www.isavia.is/en/akureyri-airport,https://en.wikipedia.org/wiki/Akureyri_Airport,
SAMR,AFA,Suboficial Ay Santiago Germano Airport,medium_airport,SAMR,-34.588299,-68.4039,2470,SA,AR,5788,AR-M,San Rafael,yes,SRA,,https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina),
SBAT,AFL,Piloto Osvaldo Marques Dias Airport,medium_airport,SBAT,-9.866389,-56.106298,948,SA,BR,5864,BR-MT,Alta Floresta,yes,MT0003,,https://en.wikipedia.org/wiki/Alta_Floresta_Airport,
UTSN,AFS,Sugraly Airport,small_airport,UTSN,41.613899,64.2332,1396,AS,UZ,41685,UZ-NW,Zarafshan,yes,,,https://en.wikipedia.org/wiki/Zarafshan_Airport,
AGAF,AFT,Afutara Aerodrome,small_airport,AGAF,-9.19138888889,160.948611111,23,OC,SB,301649,SB-ML,Bila,yes,,,https://en.wikipedia.org/wiki/Afutara_Airport,
OIMS,AFZ,Sabzevar National Airport,medium_airport,OIMS,36.168098449707,57.5951995849609,3010,AS,IR,5185,IR-09,Sabzevar,yes,,,https://en.wikipedia.org/wiki/Sabzevar_Airport,
GMAD,AGA,Al Massira Airport,medium_airport,GMAD,30.322478,-9.412003,250,AF,MA,3101,MA-AGD,Agadir (Temsia),yes,,http://www.agadir-airport.com/en/index.php,https://en.wikipedia.org/wiki/Al_Massira_Airport,
EDWG,AGE,Wangerooge Airport,small_airport,EDWG,53.782544,7.919584,7,EU,DE,28751,DE-NI,Wangerooge,yes,,https://www.edwg.de,https://en.wikipedia.org/wiki/Wangerooge_Airfield,
ESTA,AGH,Ängelholm-Helsingborg Airport,medium_airport,ESTA,56.2961006164551,12.8471002578735,68,EU,SE,2711,SE-M,Ängelholm,yes,,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,https://en.wikipedia.org/wiki/%C3%84ngelholm-Helsingborg_Airport,"ESDB, Ängelholm Air Base"
SMWA,AGI,Wageningen Airstrip,small_airport,SMWA,5.841252,-56.673247,6,SA,SR,41510,SR-NI,Wageningen,yes,,,https://en.wikipedia.org/wiki/Wageningen_Airstrip,
RORA,AGJ,Aguni Airport,small_airport,RORA,26.592755,127.240335,38,AS,JP,30621,JP-47,Aguni,yes,,,https://en.wikipedia.org/wiki/Aguni_Airport,
BGAM,AGM,Tasiilaq Heliport,heliport,BGAM,65.612296,-37.618335,24,NA,GL,42247,GL-SE,Tasiilaq,yes,AGM,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/tasiilaq/,https://en.wikipedia.org/wiki/Tasiilaq_Heliport,Ammassalik
PAGN,AGN,Angoon Seaplane Base,seaplane_base,PAGN,57.497097,-134.56722,,NA,US,16093,US-AK,Angoon,yes,AGN,,https://en.wikipedia.org/wiki/Angoon_Seaplane_Base,
LEMG,AGP,Málaga-Costa del Sol Airport,large_airport,LEMG,36.6749,-4.49911,53,EU,ES,4020,ES-AN,Málaga,yes,,https://www.aena.es/en/malaga-costa-del-sol.html,https://en.wikipedia.org/wiki/M%C3%A1laga_Airport,"Costa del Sol, Malaga"
VIAG,AGR,Agra Airport / Agra Air Force Station,medium_airport,VIAG,27.157683,77.960942,551,AS,IN,26537,IN-UP,Agra,yes,,,https://en.wikipedia.org/wiki/Agra_Airport,"Kheria Airport, Pandit Deen Dayal Upadhyay Airport, RAF Agra"
KAGS,AGS,Augusta Regional At Bush Field,medium_airport,KAGS,33.3699,-81.9645,144,NA,US,3368,US-GA,Augusta,yes,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,
SGES,AGT,Guaraní International Airport,large_airport,SGES,-25.457186,-54.839544,846,SA,PY,6091,PY-10,Ciudad del Este,yes,,,https://en.wikipedia.org/wiki/Guarani_International_Airport,Aeropuerto Internacional Guaraní
MMAS,AGU,Jesús Terán Peredo International Airport,medium_airport,MMAS,21.699589,-102.318372,6112,NA,MX,4691,MX-AGU,Aguascalientes,yes,,https://www.aeropuertosgap.com.mx/es/aguascalientes.html,https://en.wikipedia.org/wiki/Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport,"Aguascalientes International, Licenciado Jesús Terán Peredo, Aeropuerto Internacional Jesús Terán Peredo"
SVAC,AGV,Oswaldo Guevara Mujica Airport,medium_airport,SVAC,9.553375,-69.237869,640,SA,VE,6249,VE-P,Acarigua,yes,,,https://en.wikipedia.org/wiki/Oswaldo_Guevara_Mujica_Airport,Acarigua-Araure Airport
VOAT,AGX,Agatti Airport,medium_airport,VOAT,10.8237,72.176003,14,AS,IN,26602,IN-LD,Agatti,yes,,,https://en.wikipedia.org/wiki/Agatti_Aerodrome,
OEAB,AHB,Abha International Airport,medium_airport,OEAB,18.2404,42.656601,6858,AS,SA,5082,SA-14,Abha,yes,,,https://en.wikipedia.org/wiki/Abha_International_Airport,Abha Regional Airport
NTHE,AHE,Ahe Airport,medium_airport,NTHE,-14.4280996322632,-146.25700378418,11,OC,PF,4997,PF-U-A,Ahe Atoll,yes,,http://www.sia.aviation-civile.gouv.fr/aip/enligne/PDF_AIPparSSection/AIP%20PAC-P/AD/2/0703_AD%202.NTHE.pdf,https://en.wikipedia.org/wiki/Ahe_Airport,Tenukupara
LIEA,AHO,Alghero-Fertilia Airport,medium_airport,LIEA,40.632099,8.29077,87,EU,IT,4330,IT-88,Alghero,yes,SS02,http://www.aeroportodialghero.it/home_en.asp,https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport,"Alghero Airport, Sardinia, Alghero - Riviera del Corallo Airport"
GMTA,AHU,Cherif Al Idrissi Airport,medium_airport,GMTA,35.1771011352539,-3.83951997756958,95,AF,MA,3119,MA-HOC,Al Hoceima,yes,,,https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport,
KAIA,AIA,Alliance Municipal Airport,medium_airport,KAIA,42.052543,-102.803965,3931,NA,US,19257,US-NE,Alliance,yes,AIA,,https://en.wikipedia.org/wiki/Alliance_Municipal_Airport,
PAWI,AIN,Wainwright Airport,medium_airport,PAWI,70.638,-159.994995,41,NA,US,5422,US-AK,Wainwright,yes,AWI,,https://en.wikipedia.org/wiki/Wainwright_Airport_(Alaska),5WW
VIAX,AIP,Adampur Airport,small_airport,VIAX,31.4338,75.758797,775,AS,IN,26542,IN-PB,Adampur,yes,,,https://en.wikipedia.org/wiki/Adampur_Air_Force_Base,Adampur Air Force Station
NCAI,AIT,Aitutaki Airport,small_airport,NCAI,-18.8309,-159.764008,14,OC,CK,4957,CK-U-A,Aitutaki,yes,,https://cookislandsairports.com/home/,https://en.wikipedia.org/wiki/Aitutaki_Airport,
NCAT,AIU,Enua Airport,small_airport,NCAT,-19.9678001403809,-158.119003295898,36,OC,CK,30629,CK-U-A,Atiu Island,yes,,,https://en.wikipedia.org/wiki/Enua_Airport,
LFKJ,AJA,Ajaccio-Napoléon Bonaparte Airport,medium_airport,LFKJ,41.9235992431641,8.8029203414917,18,EU,FR,4126,FR-COR,Ajaccio/Napoléon Bonaparte,yes,,,https://en.wikipedia.org/wiki/Ajaccio_-_Campo_dell'Oro_Airport,
OESK,AJF,Al-Jawf Domestic Airport,medium_airport,OESK,29.7851009368897,40.0999984741211,2261,AS,SA,5119,SA-12,Al-Jawf,yes,,,https://en.wikipedia.org/wiki/Al-Jawf_Domestic_Airport,Al Jouf Airport
LTCO,AJI,Ağrı Airport,medium_airport,LTCO,39.655642,43.025742,5462,AS,TR,4560,TR-04,Ağrı,yes,,,https://en.wikipedia.org/wiki/A%C4%9Fr%C4%B1_Airport,
VELP,AJL,Lengpui Airport,medium_airport,VELP,23.840599,92.619698,1398,AS,IN,26510,IN-MZ,Aizawl (Lengpui),yes,,http://www.aai.aero/allAirports/lengpui.jsp,https://en.wikipedia.org/wiki/Lengpui_Airport,
FMCV,AJN,Ouani Airport,medium_airport,FMCV,-12.131047,44.430044,62,AF,KM,2903,KM-A,Ouani,yes,,,https://en.wikipedia.org/wiki/Ouani_Airport,
ESNX,AJR,Arvidsjaur Airport,medium_airport,ESNX,65.5903015136719,19.2819004058838,1245,EU,SE,2691,SE-BD,Arvidsjaur,yes,,,https://en.wikipedia.org/wiki/Arvidsjaur_Airport,
SBAR,AJU,Aracaju - Santa Maria International Airport,medium_airport,SBAR,-10.984,-37.070301,139,SA,BR,5862,BR-SE,Aracaju,yes,SE0001,https://www.aenabrasil.com.br/pt/aeroportos/aeroporto-internacional-santa-maria-aracaju/index.html,https://en.wikipedia.org/wiki/Santa_Maria_Airport_(Sergipe),
DRZA,AJY,Mano Dayak International Airport,medium_airport,DRZA,16.9659996032715,8.00010967254639,1657,AF,NE,2127,NE-1,Agadez,yes,,,https://en.wikipedia.org/wiki/Mano_Dayak_International_Airport,
ZLAK,AKA,Ankang Fuqiang Airport,small_airport,ZLAK,32.75696,108.87338,1209,AS,CN,30632,CN-61,Ankang (Hanbin),yes,,,https://en.wikipedia.org/wiki/Ankang_Fuqiang_Airport,
PAAK,AKB,Atka Airport,small_airport,PAAK,52.220299,-174.205994,57,NA,US,16190,US-AK,Atka,yes,AKA,,https://en.wikipedia.org/wiki/Atka_Airport,40A
HLKF,AKF,Kufra Airport,medium_airport,HLKF,24.1786994934082,23.3139991760254,1367,AF,LY,3222,LY-KF,Kufra,yes,,,https://en.wikipedia.org/wiki/Kufra_Airport,
PFAK,AKI,Akiak Airport,small_airport,PFAK,60.902646,-161.23106,30,NA,US,16191,US-AK,Akiak,yes,AKI,,https://en.wikipedia.org/wiki/Akiak_Airport,
RJEC,AKJ,Asahikawa Airport,medium_airport,RJEC,43.670799,142.447006,721,AS,JP,5558,JP-01,Higashikagura,yes,,,https://en.wikipedia.org/wiki/Asahikawa_Airport,
PAKH,AKK,Akhiok Airport,small_airport,PAKH,56.938702,-154.182999,44,NA,US,16192,US-AK,Akhiok,yes,AKK,,https://en.wikipedia.org/wiki/Akhiok_Airport,
NZAA,AKL,Auckland International Airport,large_airport,NZAA,-37.01199,174.786331,23,OC,NZ,5023,NZ-AUK,Auckland,yes,,http://www.auckland-airport.co.nz/,https://en.wikipedia.org/wiki/Auckland_International_Airport,
PAKN,AKN,King Salmon Airport,medium_airport,PAKN,58.677845,-156.651965,73,NA,US,5380,US-AK,King Salmon,yes,AKN,,https://en.wikipedia.org/wiki/King_Salmon_Airport,Naknek Air Force Base
PAKP,AKP,Anaktuvuk Pass Airport,medium_airport,PAKP,68.133598,-151.742996,2102,NA,US,5381,US-AK,Anaktuvuk Pass,yes,AKP,,https://en.wikipedia.org/wiki/Anaktuvuk_Pass_Airport,
DNAK,AKR,Akure Airport,medium_airport,DNAK,7.24673986434937,5.30101013183594,1100,AF,NG,2105,NG-ON,Akure,yes,,http://www.faannigeria.org/nigeria-airport.php?airport=21,https://en.wikipedia.org/wiki/Akure_Airport,
AGGA,AKS,Gwaunaru'u Airport,small_airport,AGGA,-8.70257,160.682007,5,OC,SB,30634,SB-ML,Auki,yes,,,https://en.wikipedia.org/wiki/Auki_Airport,
ZWAK,AKU,Aksu Hongqipo Airport,medium_airport,ZWAK,41.262501,80.291702,3816,AS,CN,30635,CN-65,Aksu (Onsu),yes,,,https://en.wikipedia.org/wiki/Aksu_Hongqipo_Airport,"Ak-su, Akshu, Aqsu, Bharuka, Po-lu-chia, Aksu Wensu Air Base, Onsu"
CYKO,AKV,Akulivik Airport,small_airport,CYKO,60.8186,-78.148598,75,NA,CA,1791,CA-QC,Akulivik,yes,,,https://en.wikipedia.org/wiki/Akulivik_Airport,YKO
UATT,AKX,Aktobe Airport,medium_airport,UATT,50.2458,57.206699,738,AS,KZ,6438,KZ-AKT,Aktobe,yes,,,https://en.wikipedia.org/wiki/Aktobe_Airport,"Aktyubinsk Airport, Aktubinsk Airport, Аэропорт Актюбинск"
VYSW,AKY,Sittwe Airport,medium_airport,VYSW,20.133165,92.870693,27,AS,MM,26740,MM-16,Sittwe,yes,,,https://en.wikipedia.org/wiki/Sittwe_Airport,
UAAA,ALA,Almaty International Airport,large_airport,UAAA,43.354267,77.042828,2234,AS,KZ,6421,KZ-ALA,Almaty,yes,,,https://en.wikipedia.org/wiki/Almaty_International_Airport,Alma Ata
KALB,ALB,Albany International Airport,medium_airport,KALB,42.7482986450195,-73.8016967773438,285,NA,US,3371,US-NY,Albany,yes,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,
LEAL,ALC,Alicante-Elche Miguel Hernández Airport,large_airport,LEAL,38.2822,-0.558156,142,EU,ES,3997,ES-VC,Alicante,yes,,https://www.aena.es/en/alicante-elche.html,https://en.wikipedia.org/wiki/Alicante_Airport,
ENAT,ALF,Alta Airport,medium_airport,ENAT,69.976097,23.3717,9,EU,NO,2566,NO-56,Alta,yes,,https://avinor.no/en/airport/alta-airport/,https://en.wikipedia.org/wiki/Alta_Airport,
DAAG,ALG,Houari Boumediene Airport,large_airport,DAAG,36.693886,3.214531,82,AF,DZ,2050,DZ-16,Algiers,yes,,,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport,"Algiers, Maison Blanche"
YABA,ALH,Albany Airport,medium_airport,YABA,-34.9432983398438,117.80899810791,233,OC,AU,26888,AU-WA,Albany,yes,,,https://en.wikipedia.org/wiki/Albany_Airport_(Australia),"ABA, YPAL"
KALO,ALO,Waterloo Regional Airport,medium_airport,KALO,42.5570983886719,-92.4002990722656,873,NA,US,3375,US-IA,Waterloo,yes,ALO,,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,
